year,route_id,route,origin,destination,months_reported,scheduled,flown,cancelled,arr_on_time,arr_delayed,cancellation_rate,arrival_otp,cancellation_rank,year_cancellations,cumulative_cancellations,share_of_cancellations,cumulative_share,coverage_note
2025,47,Darwin-Brisbane,Darwin,Brisbane,12,1251,1231,20,928,303,0.0159872102318,0.753858651503,66,10565,10196,0.00189304306673,0.965073355419,"Full year / 1,000+ scheduled"
2025,61,Hobart-Brisbane,Hobart,Brisbane,12,1109,1090,19,755,335,0.0171325518485,0.692660550459,67,10565,10215,0.00179839091339,0.966871746332,"Full year / 1,000+ scheduled"
2025,86,Mount Isa-Brisbane,Mount Isa,Brisbane,12,971,952,19,733,219,0.0195674562307,0.769957983193,67,10565,10234,0.00179839091339,0.968670137246,Low volume: interpret cautiously
2025,4,Adelaide-Canberra,Adelaide,Canberra,12,1302,1284,18,1068,216,0.0138248847926,0.831775700935,68,10565,10252,0.00170373876006,0.970373876006,"Full year / 1,000+ scheduled"
2025,30,Brisbane-Proserpine,Brisbane,Proserpine,12,996,978,18,717,261,0.0180722891566,0.733128834356,68,10565,10270,0.00170373876006,0.972077614766,Low volume: interpret cautiously
2025,37,Cairns-Melbourne,Cairns,Melbourne,12,2316,2298,18,1813,485,0.00777202072539,0.788946910357,68,10565,10288,0.00170373876006,0.973781353526,"Full year / 1,000+ scheduled"
2025,81,Melbourne-Newcastle,Melbourne,Newcastle,12,1807,1790,17,1313,477,0.00940785832872,0.733519553073,69,10565,10305,0.00160908660672,0.975390440133,"Full year / 1,000+ scheduled"
2025,105,Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,12,2310,2294,16,1583,711,0.00692640692641,0.690061028771,70,10565,10321,0.00151443445338,0.976904874586,"Full year / 1,000+ scheduled"
2025,23,Brisbane-Hobart,Brisbane,Hobart,12,1109,1095,14,825,270,0.0126239855726,0.753424657534,71,10565,10335,0.00132513014671,0.978230004733,"Full year / 1,000+ scheduled"
2025,8,Adelaide-Perth,Adelaide,Perth,12,2288,2275,13,1732,543,0.00568181818182,0.761318681319,72,10565,10348,0.00123047799337,0.979460482726,"Full year / 1,000+ scheduled"
2025,19,Brisbane-Darwin,Brisbane,Darwin,12,1246,1233,13,1007,226,0.0104333868379,0.816707218167,72,10565,10361,0.00123047799337,0.980690960719,"Full year / 1,000+ scheduled"
2025,27,Brisbane-Mount Isa,Brisbane,Mount Isa,12,969,956,13,779,177,0.0134158926729,0.814853556485,72,10565,10374,0.00123047799337,0.981921438713,Low volume: interpret cautiously
2025,92,Perth-Broome,Perth,Broome,12,1597,1584,13,1258,326,0.00814026299311,0.794191919192,72,10565,10387,0.00123047799337,0.983151916706,"Full year / 1,000+ scheduled"
2025,48,Darwin-Melbourne,Darwin,Melbourne,12,1017,1005,12,804,201,0.0117994100295,0.8,73,10565,10399,0.00113582584004,0.984287742546,"Full year / 1,000+ scheduled"
2025,73,Melbourne-Cairns,Melbourne,Cairns,12,2313,2302,11,1843,459,0.00475572849114,0.800608166811,74,10565,10410,0.0010411736867,0.985328916233,"Full year / 1,000+ scheduled"
2025,68,Launceston-Sydney,Launceston,Sydney,12,1254,1244,10,874,370,0.00797448165869,0.702572347267,75,10565,10420,0.000946521533365,0.986275437766,"Full year / 1,000+ scheduled"
2025,90,Perth-Adelaide,Perth,Adelaide,12,2289,2279,10,1859,420,0.00436871996505,0.815708644142,75,10565,10430,0.000946521533365,0.9872219593,"Full year / 1,000+ scheduled"
2025,6,Adelaide-Gold Coast,Adelaide,Gold Coast,12,779,770,9,652,118,0.0115532734275,0.846753246753,76,10565,10439,0.000851869380028,0.98807382868,Low volume: interpret cautiously
2025,49,Darwin-Perth,Darwin,Perth,12,766,757,9,583,174,0.0117493472585,0.770145310436,76,10565,10448,0.000851869380028,0.98892569806,Low volume: interpret cautiously
2025,59,Hamilton Island-Brisbane,Hamilton Island,Brisbane,12,766,757,9,567,190,0.0117493472585,0.749009247028,76,10565,10457,0.000851869380028,0.98977756744,Low volume: interpret cautiously
2025,66,Launceston-Brisbane,Launceston,Brisbane,12,489,480,9,304,176,0.0184049079755,0.633333333333,76,10565,10466,0.000851869380028,0.99062943682,Low volume: interpret cautiously
2025,83,Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,12,2302,2293,9,1810,483,0.00390964378801,0.789358918447,76,10565,10475,0.000851869380028,0.9914813062,"Full year / 1,000+ scheduled"
2025,120,Sydney-Launceston,Sydney,Launceston,12,1249,1240,9,958,282,0.00720576461169,0.772580645161,76,10565,10484,0.000851869380028,0.99233317558,"Full year / 1,000+ scheduled"
2025,22,Brisbane-Hamilton Island,Brisbane,Hamilton Island,12,765,757,8,610,147,0.0104575163399,0.805812417437,77,10565,10492,0.000757217226692,0.993090392806,Low volume: interpret cautiously
2025,55,Gold Coast-Adelaide,Gold Coast,Adelaide,12,779,771,8,575,196,0.01026957638,0.745784695201,77,10565,10500,0.000757217226692,0.993847610033,Low volume: interpret cautiously
2025,97,Perth-Newman,Perth,Newman,12,2143,2135,8,1811,324,0.00373308446104,0.848243559719,77,10565,10508,0.000757217226692,0.99460482726,"Full year / 1,000+ scheduled"
2025,112,Sydney-Cairns,Sydney,Cairns,12,2713,2705,8,2175,530,0.00294876520457,0.804066543438,77,10565,10516,0.000757217226692,0.995362044487,"Full year / 1,000+ scheduled"
2025,12,Alice Springs-Adelaide,Alice Springs,Adelaide,12,617,610,7,455,155,0.0113452188006,0.745901639344,78,10565,10523,0.000662565073355,0.99602460956,Low volume: interpret cautiously
2025,1,Adelaide-Alice Springs,Adelaide,Alice Springs,12,618,612,6,462,150,0.00970873786408,0.754901960784,79,10565,10529,0.000567912920019,0.99659252248,Low volume: interpret cautiously
2025,42,Canberra-Gold Coast,Canberra,Gold Coast,12,551,545,6,466,79,0.010889292196,0.85504587156,79,10565,10535,0.000567912920019,0.9971604354,Low volume: interpret cautiously
2025,56,Gold Coast-Canberra,Gold Coast,Canberra,12,551,545,6,474,71,0.010889292196,0.869724770642,79,10565,10541,0.000567912920019,0.99772834832,Low volume: interpret cautiously
