year,routes,scheduled,flown,cancelled,arr_on_time,cancellation_rate,arrival_otp,cancellation_change_pp,arrival_change_pp
2024,116,421984,410901,11083,300754,0.0262640289679,0.731937863378,,
2025,116,417153,406592,10561,308197,0.0253168501725,0.7580006493,-0.0947178795444,2.60627859213
